user,time,tweet,latitude,longitude
Debster1776,Thu Mar 05 03:43:01 +0000 2015,RT @reFocusZone: #Fact: 75 % of Iran's centrifuges were installed during Obama's watch#NetanhayuSpeech#Israelvia @JamesRosenFNChttp:,,
blipmiester3,Thu Mar 05 03:43:00 +0000 2015,RT @tweeterjeeter3: @anaevans339: No truer words were ever spoken... http://t.co/cp1OFYXKAQ@BarackObama for u Obama.,,
TedPittman,Thu Mar 05 03:43:00 +0000 2015,RT @proadstudio: When did Obama take military option off the table? Never. @shortwave8669 @Sam_Schulman @Kassandra_Troy @MichaelPodwill,,
HilliardLawGa,Thu Mar 05 03:42:59 +0000 2015,It's too bad that Obama doesn't feel the same about America and Isreal.  He's digging our Graves with his golden... http://t.co/Y3IcTeD7sc,,
mrchambersblog,Thu Mar 05 03:42:59 +0000 2015,RT @GLeutz: The Betrayal Papers: Obamas Scandals and Assaults on Freedoms Explained http://t.co/UWZFwpqVmm via @po_st,,
WoodMarley,Thu Mar 05 03:42:58 +0000 2015,RT @LanaViolet88: Selmas 50th anniversary: Obama to address new generation in Saturdaysspeech http://t.co/2EgggcDLN7,,
OBAMA_GAMES,Thu Mar 05 03:42:58 +0000 2015,One world government is closer than you think.  North Korea is the only one would can't be tricked.  How much longer?  @cspanwj #tcot #news,,
LadySandersfarm,Thu Mar 05 03:42:58 +0000 2015,Obama stands down. #tcot http://t.co/lLYDFuh7ru,,
NamdevAnjana,Thu Mar 05 03:42:57 +0000 2015,Facebook blocks boy who questioned Obama's love for US http://t.co/w5WOIlDTFO,,
carlyhorchh,Thu Mar 05 03:42:56 +0000 2015,RT @tomlinsonjpg: I DON'T EVEN KNOW WHAT TO DO WITH MYSELF I MEAN LIKE OBAMA AND I ARE IN THE SAME COUNTRY,,
318_joey,Thu Mar 05 03:42:55 +0000 2015,RT @cos_mt_dir: MT @BethMSH_: Is this how Obama shows his love for America? http://t.co/jujECIjJmM #NoAmnesty #COSProject #PJNET,,
robbeaux,Thu Mar 05 03:42:55 +0000 2015,"Funny commercial videos, funny baseball videos, hindi funny videos, obama funnyvideo http://t.co/SkMdx3Ow3k",,
